Birth_Country,Age_0_5,Age_6_10,Age_11_15,Age_16_20,Age_20_plus,Grade_9th,Grade_12th,HS_Dropout,HS_Grad,College_2_Yr,Bach_Degree,Adv_Degree,College_Enroll_18_24,College_Enroll_25_plus,Median_Income_FT,Median_Income_PT,Income_0_25k,Income_25k_48k,Income_48k_77k,Income_77k_125k,Income_125k_plus,Management,Science_and_Eng,Legal_Social_Service,Education_and_arts,Health_care,Food_prep_serve,Cleaning_and_maint,Other_services,Sales,Administrative,Farming_and_fishing,Construction,Manufacturing,Transportation,Military,Unemployed
US,0,0,0,0,0,4380278,11086857,587488,51286386,56959420,37458246,22796623,11682646,7204033,49000,35000,20744178,20248951,20666522,21103134,20231215,20010377,8318530,4578675,13573179,13995427,9570999,4183259,8377235,17391363,19613568,916886,7269547,11784060,12504870,556905,1317281
Mexico,928523,775875,1485420,2238925,5753368,3557555,1818941,26761,2619905,1327496,524225,194147,183810,209634,30000,26000,1117832,1260632,1064728,745267,361893,367891,111490,60568,215812,312621,821912,787212,216708,494685,482108,473083,1316937,1001810,851937,6356,68478
Eastand Southeast Asia,1500243,946080,926337,941610,4334258,761904,471609,3533,1341724,1507372,2117941,1414465,409655,407299,50000,39000,645308,522321,559489,694044,930333,770393,701074,97458,448148,797190,447055,146691,388236,525913,559092,15351,87448,465487,297208,10277,39188
Central Asia,38881,21083,20612,17039,34239,2938,2164,0,16565,22521,32253,25411,6582,6018,45000,32000,13465,7659,9633,9685,10376,10560,6254,1656,6787,17153,4373,2776,5757,7961,7078,0,4097,5342,11118,83,509
South Asia,1148791,589390,446589,470990,1013222,162268,146226,2590,287480,320697,1003877,1245365,138318,167468,80000,62000,152752,153246,200924,333207,628139,410795,744866,29391,172756,260796,82534,27050,62512,273505,157368,3970,18523,92958,149425,1178,24066
Oceania,61091,28265,32969,34158,89888,12426,14294,0,51353,53714,48792,28727,9766,8358,56000,40000,12483,17258,16351,20960,28837,28858,15152,4219,17184,16466,10321,5240,8889,16158,17864,1325,4977,12533,12690,416,1696
Europe,657376,358714,414540,634284,2783356,271588,217141,2150,957705,1003116,967403,994478,119999,151064,62000,48600,464035,403162,394804,441374,636009,512774,319008,70541,329190,302199,128770,105995,141259,276968,302874,6559,150276,191971,183436,4055,15986
Canada and Other North America,151646,67457,62946,87060,457984,19168,33442,547,124331,196924,207485,163790,27383,27142,77000,56000,72741,58409,70938,72963,135332,105201,58508,18262,67957,60699,14727,6934,17993,53662,53519,2097,14822,20568,21666,322,1594
Caribbean,768542,576927,470081,479039,2169302,469118,413320,7512,1173233,987259,562591,314062,103288,185647,35000,29400,526856,430911,386883,319706,253729,227531,83025,65335,157404,466385,178265,223699,187967,255489,296439,9904,165738,238654,380618,3388,38632
Central America,657604,367185,559321,537020,1469200,990157,409274,24440,780777,503784,234528,89029,0,84037,30000,25200,313847,364005,302928,233591,142635,131186,38518,22168,75202,109156,253526,340261,90115,157791,160879,48009,472636,275088,278768,3605,21807
South America,706779,292896,366750,626399,1311556,230349,173220,3326,773149,729619,610168,377705,101943,161581,40000,31200,260250,267990,282476,269308,251520,273881,118525,47565,190601,182905,156627,220492,128878,226007,243198,5649,192749,170932,195344,2521,15344
Middle East North Africa,432957,276164,183893,205151,686733,115167,70133,1402,285768,289606,418472,342688,76004,121530,60000,40000,197391,136843,126084,129897,194614,155525,116494,20330,122535,115503,60899,22133,45021,175309,89201,1283,24539,68020,94700,570,14942
Sub Saharan Africa,547733,379302,330441,303174,471820,125101,76093,2499,330351,432143,378827,272735,107937,199896,42000,32000,183461,182741,181513,166382,140541,141661,92680,44282,81342,335065,66173,68446,77875,116271,121349,2160,22537,107910,193221,1993,16584
