State,Region
Illinois,Midwest
Indiana,Midwest
Iowa,Midwest
Kansas,Midwest
Michigan,Midwest
Minnesota,Midwest
Missouri,Midwest
Nebraska,Midwest
North Dakota,Midwest
Ohio,Midwest
South Dakota,Midwest
Wisconsin,Midwest
Connecticut,Northeast
Delaware,Northeast
District of Columbia,Northeast
Maine,Northeast
Maryland,Northeast
Massachusetts,Northeast
New Hampshire,Northeast
New Jersey,Northeast
New York,Northeast
Pennsylvania,Northeast
Rhode Island,Northeast
Unknown,Unknown
Guam,South Pacific
Alabama,Southeast
Arkansas,Southeast
Florida,Southeast
Georgia,Southeast
Kentucky,Southeast
Louisiana,Southeast
Mississippi,Southeast
North Carolina,Southeast
Puerto Rico,Southeast
South Carolina,Southeast
Tennessee,Southeast
Virginia,Southeast
West Virginia,Southeast
Arizona,Southwest
New Mexico,Southwest
Oklahoma,Southwest
Texas,Southwest
Alaska,West
California,West
Colorado,West
Hawaii,West
Idaho,West
Montana,West
Nevada,West
Oregon,West
Utah,West
Washington,West
Wyoming,West
