state,name,latitude,longitude
AK,Alaska,63.588753,-154.493062
AL,Alabama,32.318231,-86.902298
AR,Arkansas,35.20105,-91.831833
AZ,Arizona,34.048928,-111.093731
CA,California,36.778261,-119.417932
CO,Colorado,39.550051,-105.782067
CT,Connecticut,41.603221,-73.087749
DC,District of Columbia,38.905985,-77.033418
DE,Delaware,38.910832,-75.52767
FL,Florida,27.664827,-81.515754
GA,Georgia,32.157435,-82.907123
HI,Hawaii,19.898682,-155.665857
IA,Iowa,41.878003,-93.097702
ID,Idaho,44.068202,-114.742041
IL,Illinois,40.633125,-89.398528
IN,Indiana,40.551217,-85.602364
KS,Kansas,39.011902,-98.484246
KY,Kentucky,37.839333,-84.270018
LA,Louisiana,31.244823,-92.145024
MA,Massachusetts,42.407211,-71.382437
MD,Maryland,39.045755,-76.641271
ME,Maine,45.253783,-69.445469
MI,Michigan,44.314844,-85.602364
MN,Minnesota,46.729553,-94.6859
MO,Missouri,37.964253,-91.831833
MS,Mississippi,32.354668,-89.398528
MT,Montana,46.879682,-110.362566
NC,North Carolina,35.759573,-79.0193
ND,North Dakota,47.551493,-101.002012
NE,Nebraska,41.492537,-99.901813
NH,New Hampshire,43.193852,-71.572395
NJ,New Jersey,40.058324,-74.405661
NM,New Mexico,34.97273,-105.032363
NV,Nevada,38.80261,-116.419389
NY,New York,43.299428,-74.217933
OH,Ohio,40.417287,-82.907123
OK,Oklahoma,35.007752,-97.092877
OR,Oregon,43.804133,-120.554201
PA,Pennsylvania,41.203322,-77.194525
PR,Puerto Rico,18.220833,-66.590149
RI,Rhode Island,41.580095,-71.477429
SC,South Carolina,33.836081,-81.163725
SD,South Dakota,43.969515,-99.901813
TN,Tennessee,35.517491,-86.580447
TX,Texas,31.968599,-99.901813
UT,Utah,39.32098,-111.093731
VA,Virginia,37.431573,-78.656894
VT,Vermont,44.558803,-72.577841
WA,Washington,47.751074,-120.740139
WI,Wisconsin,43.78444,-88.787868
WV,West Virginia,38.597626,-80.454903
WY,Wyoming,43.075968,-107.290284
